,STARTER_NAME,AVERAGE_SPEED_furlongs_a_second,TRAINERS,SIRES,JOCKEYS
8,Helen by Night,0.07403618350204609,Rudy Rodriguez,Rule by Night,['Javier Castellano']
381,Bovary,0.07541234392338106,William Mott,First Samurai,['Dylan Davis']
75,Gabi's Tuff,0.07634541441679044,Gary Contessa,Teuflesberg,['Joey Martinez']
154,Mitzrayim,0.07709166198610147,Mark Hennig,Cairo Prince,['Chris Landeros']
354,Talk You Out of It,0.07709902084243529,Bruce Brown,Overanalyze,['Junior Alvarado']
275,Perpetrate,0.07713760161395597,Michael Stidham,Distorted Humor,['Tyler Gaffalione']
268,Bella Invasion,0.07718248313859598,Randi Persaud,Normandy Invasion,['Samuel Jimenez']
267,Graphite Dutchess,0.07722007722007722,Bruce Brown,Palace Malice,['Luis Saez']
407,Lovedisc,0.07739938080495357,Jaime Mejia,Grey Swallow,['Jose Gallego']
274,Geta Lode of Lucky,0.07753972419716562,Danny Gargan,Girolamo,['Kendrick Carmouche']
