,SIRE,AVERAGE_SPEED_furlongs_a_second,OFFSPRING
144,Daddy Long Legs,0.08889750925342256,['Montauk Daddy']
126,Zoffany (IRE),0.08836476976960896,['Boston Beauties (IRE)']
127,Colonel John,0.08783837738561047,['Love of My Heart']
145,Sidney's Candy,0.08763543658381134,['Now Is']
125,Warrior's Reward,0.08736954138933456,['Go Rudy Go']
130,Society Rock (IRE),0.0871121529372634,['Divided Sky (IRE)']
158,Karakontie (JPN),0.08691392361056241,['Las Ramblas']
110,Get Stormy,0.08661144530880917,['Get Smokin']
150,Giant's Causeway,0.08624745177983377,"[""Ava K's Girl""]"
159,Take Charge Indy,0.08598990009537062,['Brickyard']
