,STARTER_NAME,AVERAGE_SPEED_furlongs_a_second,TRAINERS,SIRES,JOCKEYS
355,Mystic Lancelot,0.09007533573534228,Todd Pletcher,Into Mischief,['John Velazquez']
344,Kimari,0.08953280156275435,Wesley Ward,Munnings,['John Velazquez']
356,Art Collector,0.08942944017170452,Joe Sharp,Bernardini,['Luis Saez']
357,Buy Land and See,0.08910923171640582,Steve Klesaris,Cairo Prince,['Jose Lezcano']
358,Aye Aye Sir,0.08900396472206488,Wesley Ward,Midshipman,"['Irad Ortiz, Jr.']"
367,Montauk Daddy,0.08889750925342256,Linda Rice,Daddy Long Legs,['Jose Lezcano']
284,Voting Agreement,0.08889607240989171,Chad Brown,More Than Ready,['Javier Castellano']
359,Croi Mor,0.08884437695861468,Todd Pletcher,Honor Code,['Javier Castellano']
360,Relentless Dancer,0.08884437695861468,Michael Maker,Midshipman,['Jose Ortiz']
345,Abscond,0.08867821095740222,Eddie Kenneally,Blame,['Javier Castellano']
346,Champagne Humor,0.08846710632137687,Antonio Sano,Distorted Humor,['Luca Panici']
361,Katama Bay,0.08837186882401143,Brad Cox,Flatter,['Joel Rosario']
285,Boston Beauties (IRE),0.08836476976960896,Todd Pletcher,Zoffany (IRE),['Luis Saez']
286,Indochine,0.08810008169280302,Chad Brown,War Front,"['Irad Ortiz, Jr.']"
137,Another Miracle,0.08805894917251858,Gary Contessa,American Pharoah,['Manuel Franco']
287,Love of My Heart,0.08783837738561047,Mark Casse,Colonel John,['Tyler Gaffalione']
368,Now Is,0.08763543658381134,Philip Gleaves,Sidney's Candy,['John Velazquez']
289,Star Command,0.08757682876341517,Claude McGaughey III,Orb,['Dylan Davis']
278,Kierkegaard,0.08752665584518922,Jack Sisterson,Freud,['Joel Rosario']
472,Freewheeler,0.08745428525997774,Todd Pletcher,City Zip,"['Irad Ortiz, Jr.']"
109,Fly So Pretty,0.08738481093104544,Mark Casse,Sky Mesa,['Javier Castellano']
279,Go Rudy Go,0.08736954138933456,Rudy Rodriguez,Warrior's Reward,['Jose Lezcano']
110,Sequin,0.0873334709497118,Wesley Ward,Bayern,['Tyler Gaffalione']
369,Venerate,0.08727388130752142,Antonio Sano,Treasure Beach (GB),"['Irad Ortiz, Jr.']"
277,First Deputy,0.08717635542853275,Linda Rice,Awesome Again,['Jose Ortiz']
112,Queen of Shades,0.08717566689385174,Jason Servis,Midshipman,"['Irad Ortiz, Jr.']"
291,She's Into Me,0.08716323296354991,Jorge Abreu,Into Mischief,['Jose Ortiz']
206,Frosted Rose,0.08715155110172393,Michael Trombetta,Oxbow,['Joel Rosario']
370,River Hawk,0.08711905214471267,Edward Allard,Treasure Beach (GB),['Jose Ortiz']
292,Divided Sky (IRE),0.0871121529372634,Wesley Ward,Society Rock (IRE),['John Velazquez']
207,Summer Sangria,0.08707502425445748,Wesley Ward,Maclean's Music,['John Velazquez']
451,Jazzique (IRE),0.08706664555960107,Chad Brown,Kingman (GB),"['Irad Ortiz, Jr.']"
221,Good Credence,0.08705148699767336,"Anthony Margotta, Jr.",Jimmy Creed,['John Velazquez']
222,My Sassy Sarah,0.08705148699767336,Michelle Nevin,Summer Front,['Manuel Franco']
452,Selflessly,0.08696202131360085,Chad Brown,More Than Ready,['Javier Castellano']
496,Las Ramblas,0.08691392361056241,Wesley Ward,Karakontie (JPN),['Dylan Davis']
453,Hai Bobbi,0.08680555555555555,Wesley Ward,Shanghai Bobby,['Jose Ortiz']
281,Very Replaceable,0.08679733611084808,M. Ferraro,Normandy Invasion,['Jaime Rodriguez']
208,Get Smokin,0.08661144530880917,Thomas Bush,Get Stormy,['Javier Castellano']
282,Perfect Banker,0.08659235468228478,Thomas Albertrani,Central Banker,['Eric Cancel']
223,Imincomunicado,0.08658281252459739,Derek Ryan,Maclean's Music,['Jose Lezcano']
17,Vast,0.08654753028696938,William Mott,Lea,['Junior Alvarado']
113,Giggle Factory,0.08649974836436838,Thomas Albertrani,The Factor,['Luis Reyes']
114,Mom's Pass,0.08644808399610197,Steven Asmussen,Point of Entry,"['Ricardo Santana, Jr.']"
454,Logic N Reason,0.08644264923144626,Christophe Clement,Declaration of War,['Joel Rosario']
115,Meritaten,0.08639648130694313,"Albert Stall, Jr.",War Front,['Jose Ortiz']
455,Trash Panda,0.0863910530283991,Gary Contessa,Congrats,['Luis Saez']
473,Dante's Fire,0.0863625657533171,Michael Maker,Temple City,['Manuel Franco']
456,Swirling Candy,0.08633951838246837,George Weaver,Twirling Candy,['Eric Cancel']
414,Ava K's Girl,0.08624745177983377,Michelle Nevin,Giant's Causeway,['Joel Rosario']
430,Tap It to Win,0.08620689655172414,Mark Casse,Tapit,['Tyler Gaffalione']
91,Classy Sadie,0.08620321089118878,Gary Contessa,Emcee,['Eric Cancel' 'Tyler Gaffalione']
210,Saint Marco,0.08619743915244409,Niall Saville,Tonalist,['Kendrick Carmouche']
457,Nic and Zoe,0.08613264427217916,Wesley Ward,Street Boss,['John Velazquez']
439,Roman City,0.0861070232019288,Robertino Diodoro,City Zip,"['Irad Ortiz, Jr.']"
94,Shandian,0.08609607687631256,Gary Contessa,Emcee,['Javier Castellano']
382,Shadilee,0.08604505632040049,Todd Pletcher,Declaration of War,['Luis Saez']
458,Coin the Phrase,0.08603025136475263,James Toner,Goldencents,['Kendrick Carmouche']
139,Close Shave,0.08601814200813263,H. Motion,Uncle Mo,['John Velazquez']
497,Brickyard,0.08598990009537062,Peter Pugh,Take Charge Indy,['Luis Reyes']
102,Sweet Kisses,0.08598452278589853,Jeremiah Englehart,Carpe Diem,['Jose Ortiz']
55,Bank On Shea,0.0859106529209622,Jason Servis,Central Banker,"['Irad Ortiz, Jr.']"
316,Green Light Go,0.08588794926004227,James Jerkens,Hard Spun,['Junior Alvarado']
299,Tumbling Sky,0.0858860578299456,Steven Asmussen,Competitive Edge,"['Ricardo Santana, Jr.']"
288,Leaveuwithasmile,0.08578503529634326,Jeremiah Englehart,Conveyance,"['Ricardo Santana, Jr.' 'Jorge Vargas, Jr.']"
29,Memorable,0.08578432073278881,Steven Asmussen,Uncle Mo,"['John Velazquez' 'Ricardo Santana, Jr.']"
415,Stretchthestory,0.08578335802854246,Christophe Clement,Lookin at Lucky,['Junior Alvarado']
143,Persian Queen,0.08578166096367493,Carlos Martin,Union Rags,['Luis Saez']
140,Hemlock,0.08576195599632003,William Mott,Into Mischief,['Junior Alvarado']
280,Lord Camden,0.08573498629759091,Mark Casse,Freud,['Tyler Gaffalione']
225,Wall Eye,0.08571116894450592,Gary Contessa,Quality Road,['Luis Saez']
347,British Idiom,0.0857020425653478,Brad Cox,Flashback,['Javier Castellano']
440,More Or Less,0.08569647865378621,Phil Schoenthal,More Than Ready,['Kendrick Carmouche']
31,Kickin' Kirby,0.08566711317404442,Nicholas Zito,Dialed In,['Tyler Gaffalione']
300,Bellavia,0.08565065951007823,Jena Antonucci,Honor Code,['Tyler Gaffalione']
416,Unicorn Sally,0.08562843486789869,John Kimmel,Point of Entry,['Chris Landeros']
104,Mrs. Danvers,0.08562786438220413,Claude McGaughey III,Tapit,['Joel Rosario']
37,Pharoah Cat,0.08561058171652222,D. Lukas,American Pharoah,['Rajiv Maragh' 'Luis Reyes']
514,Gouverneur Morris,0.08554985223207341,Todd Pletcher,Constitution,['John Velazquez']
431,O'Trouble,0.08554563859819213,Anthony Dutrow,In Trouble,['John Velazquez']
441,Yellen,0.0855431993156544,Wesley Ward,Fed Biz,['Dylan Davis']
103,Finite,0.0855191152392917,Steven Asmussen,Munnings,"['Ricardo Santana, Jr.']"
82,January Won,0.08547008547008547,Kenneth McPeek,New Year's Day,['Jose Ortiz']
215,Bahamian Prince,0.08541775989428928,George Weaver,Bahamian Squall,"['Paco Lopez' 'Irad Ortiz, Jr.']"
420,Three Jokers,0.08541699021587203,John Terranova II,Twirling Candy,['Luis Saez']
417,A Freud of Mama,0.08537323626655076,Michael Maker,Freud,['Luis Saez']
309,Ox Bridge,0.08537157980108422,Todd Pletcher,Oxbow,['Manuel Franco']
122,Mr Thrifty,0.08532386069044734,"Robert Reid, Jr.",Poseidon's Warrior,['Kendrick Carmouche']
435,Wicked Whisper,0.08531210009953079,Steven Asmussen,Liam's Map,"['Ricardo Santana, Jr.']"
317,Noose,0.08523695874531197,Eddie Kenneally,More Than Ready,['Corey Lanerie']
138,Irish Mias,0.08521108595313001,H. Motion,Sky Mesa,['Rajiv Maragh']
226,Stuy Town Baby,0.08520658724379927,Mark Casse,Bellamy Road,['Tyler Gaffalione']
105,Kiawah Sunset,0.08518492226875843,Wesley Ward,Uncle Mo,"['Irad Ortiz, Jr.']"
423,True Grace,0.08518068650415378,Christophe Clement,Competitive Edge,['Joel Rosario']
111,Sharing,0.08517527437428665,H. Motion,Speightstown,['Manuel Franco']
158,Complexifier,0.08513590949396627,Brian Lynch,Overanalyze,"['Luis Saez' 'Irad Ortiz, Jr.']"
418,Deeply Analytical,0.08511955428306121,Chad Brown,Majestic City,['Javier Castellano']
32,Peddlers Pride,0.0851063829787234,William Mott,Liam's Map,['Junior Alvarado']
290,Our Little Jewel,0.08509463055153688,Michael Trombetta,Hat Trick (JPN),['Joel Rosario' 'Luis Saez']
120,Three Technique,0.0850846894601787,Jeremiah Englehart,Mr Speaker,['Jose Ortiz']
169,Proven Strategies,0.08505837671834571,Mark Casse,Sky Mesa,['Tyler Gaffalione']
461,Irish Danzing,0.08504606661941885,Christophe Clement,Danza,"['Irad Ortiz, Jr.']"
89,Fierce Lady,0.08502025052376751,Dermot Magner,Competitive Edge,['Javier Castellano']
30,Zyramid,0.08501460540622571,Steven Asmussen,City Zip,"['Manuel Franco' 'Ricardo Santana, Jr.']"
302,Irish Front,0.0849942628872551,Todd Pletcher,Summer Front,['Manuel Franco']
106,Inveterate,0.0849521436257575,Dermot Magner,Palace Malice,['Tyler Gaffalione']
303,Ajaaweed,0.08494853534566975,Kiaran McLaughlin,Curlin,['Luis Saez']
476,Remain Anonymous,0.08494208494208494,Michael Trombetta,Tapiture,['Joel Rosario']
119,Basin,0.08492463326177002,Steven Asmussen,Liam's Map,"['Ricardo Santana, Jr.' 'Jose Ortiz']"
217,Big Royal Lineage,0.08491027777290672,Rudy Rodriguez,Bodemeister,['Luis Saez']
26,Tomato Bill,0.0848836386786447,Christophe Clement,More Than Ready,['Kendrick Carmouche']
118,Crack of Dawn,0.08487151344093037,Philip Serpe,Bernardini,['Junior Alvarado' 'Eric Cancel']
71,Double Down Dare,0.08486259172589951,Steve Klesaris,Cross Traffic,['Jose Lezcano' 'Manuel Franco']
421,Scilly Cay,0.0848555912120464,Linda Rice,Fed Biz,['Jose Ortiz']
77,Single Verse,0.08478997863815826,Bruce Brown,Mineshaft,['Tyler Gaffalione']
93,City Man,0.08477635559041566,Christophe Clement,Mucho Macho Man,['Joel Rosario']
444,Moonachie,0.08476970895733257,Jeremiah Englehart,Central Banker,['Jose Ortiz']
310,Sprawl,0.0847685113236603,William Mott,City Zip,['Jose Ortiz']
20,Lotta Ott,0.08475622463928947,Steven Asmussen,Tapiture,"['Ricardo Santana, Jr.']"
84,Dan the Man Can,0.08472928555547099,Edward Barker,Can the Man,['Manuel Franco']
83,Beyond Gone,0.08472580153442541,Kenneth McPeek,Can the Man,['Julien Leparoux' 'Jose Ortiz']
235,Chimney Rock,0.08472112300079544,Michael Maker,Artie Schiller,['Luis Saez' 'Jose Ortiz']
33,High Tide,0.08470269354565477,Todd Pletcher,Malibu Moon,['John Velazquez']
422,Hold My Call,0.08470269354565477,"Robert Falcone, Jr.",Hold Me Back,['Kendrick Carmouche']
145,Stunning Munnings,0.08469878033756313,Wesley Ward,Munnings,"['Irad Ortiz, Jr.']"
79,Light in the Sky,0.0846876623854936,Linda Rice,Tale of the Cat,['Jose Ortiz']
386,Abilene Trail,0.08461778796084149,Todd Pletcher,Curlin,['Luis Saez']
419,Desbordes,0.08461668641056017,George Weaver,Central Banker,"['Ricardo Santana, Jr.']"
333,Palace Avenger,0.08459682701899295,Wesley Ward,Palace,"['Irad Ortiz, Jr.']"
90,Jewel of Arabia,0.08457361090213754,Christophe Clement,Daredevil,['Joel Rosario']
27,Raging Whiskey,0.08455944529003889,Doug O'Neill,Bourbon Courage,['Javier Castellano']
88,My Italian Rabbi,0.08455502484541376,Jeremiah Englehart,Competitive Edge,['Luis Saez']
97,Fly Fly Away,0.08453628780647814,Christophe Clement,First Samurai,"['Irad Ortiz, Jr.']"
28,Cucina,0.08451299387280795,Mark Casse,Northern Afleet,['Tyler Gaffalione']
308,Gozilla,0.0845067349312853,Steven Asmussen,Flatter,"['Ricardo Santana, Jr.']"
304,Kittansett,0.08448681301660166,Chad Brown,American Pharoah,['Jose Ortiz']
191,Morality Clause,0.08447634031453352,Raymond Handal,Verrazano,['Manuel Franco']
395,Naked Avenger,0.08444649163212038,Timothy Hills,Congrats,['Luis Saez']
301,Famished,0.08444136327028563,John Kimmel,Uncle Mo,['Joel Rosario']
58,South Africa,0.08443612023703521,Michelle Nevin,Will Take Charge,['Jose Ortiz']
