,STARTER_NAME,AVERAGE_SPEED_furlongs_a_second,TRAINERS,SIRES,JOCKEYS
0,Big Q,0.08226865589839492,Gary Gullo,Big Brown,['Joel Rosario' 'Jose Lezcano']
1,Impazible Donna,0.08210180623973728,Bruce Levine,Mission Impazible,['Luis Saez']
2,Funfetti,0.08156123023993832,Jeremiah Englehart,Giant Surprise,['Jose Ortiz']
3,Love Me Tomorrow,0.0840537059423459,Wesley Ward,Mineshaft,['Dylan Davis']
4,Keypit,0.08032247163904563,Thomas Albertrani,Congrats,['Jose Lezcano']
5,Ghostghostghost,0.0788281832253626,Steven Asmussen,Archarcharch,"['Ricardo Santana, Jr.']"
6,Rewarded,0.07903733413623268,Michael Lauer,Central Banker,['Manuel Franco']
7,Time Shift,0.07779349363507779,Philip Serpe,Union Rags,['Eric Cancel']
8,Helen by Night,0.07403618350204609,Rudy Rodriguez,Rule by Night,['Javier Castellano']
9,Comical,0.08372871895060006,Doug O'Neill,Into Mischief,['Javier Castellano']
10,Kiss the Girl,0.08368317549756622,Todd Pletcher,Into Mischief,['John Velazquez']
11,Shippy,0.08303896674744143,Katherine Ritvo,Midshipman,['Jose Ortiz' 'Luis Saez']
12,Buxom Beast,0.08154629672077343,Gary Contessa,The Big Beast,['Joel Rosario' 'Kendrick Carmouche']
13,Integral,0.08012783607874135,Todd Pletcher,Algorithms,['Luis Saez' 'John Velazquez']
14,Lula's Roadrunner,0.0816982339565093,"Edward Coletti, Jr.",Uptowncharlybrown,['Mychel Sanchez']
15,His Glory,0.08056935678796831,Thomas Amoss,Mineshaft,['Jose Lezcano']
16,Lady Fatima,0.07989028400995966,Mark Casse,Bodemeister,['Dylan Davis']
17,Vast,0.08654753028696938,William Mott,Lea,['Junior Alvarado']
18,Good Shabbos,0.08349600665217624,Jeremiah Englehart,Munnings,['Luis Saez']
19,Pure Wow,0.08360496163229472,John Terranova II,The Factor,['Dylan Davis' 'Joel Rosario']
20,Lotta Ott,0.08475622463928947,Steven Asmussen,Tapiture,"['Ricardo Santana, Jr.']"
21,Bird Tycoon,0.08316084927938602,Ian Wilkes,Graydar,['Julien Leparoux' 'Chris Landeros']
22,Drop a Hint,0.08350012389417201,D. Lukas,Into Mischief,['Tyler Gaffalione' 'Manuel Franco']
23,Apurate,0.08351849931232329,Todd Pletcher,Summer Front,['John Velazquez']
24,Mylastfirstkiss,0.08244313639724259,Anthony Quartarolo,Flatter,['Kendrick Carmouche' 'Chris Landeros']
25,By Your Side,0.08390806313526906,Eddie Kenneally,Constitution,"['Irad Ortiz, Jr.']"
26,Tomato Bill,0.0848836386786447,Christophe Clement,More Than Ready,['Kendrick Carmouche']
27,Raging Whiskey,0.08455944529003889,Doug O'Neill,Bourbon Courage,['Javier Castellano']
28,Cucina,0.08451299387280795,Mark Casse,Northern Afleet,['Tyler Gaffalione']
29,Memorable,0.08578432073278881,Steven Asmussen,Uncle Mo,"['John Velazquez' 'Ricardo Santana, Jr.']"
30,Zyramid,0.08501460540622571,Steven Asmussen,City Zip,"['Manuel Franco' 'Ricardo Santana, Jr.']"
31,Kickin' Kirby,0.08566711317404442,Nicholas Zito,Dialed In,['Tyler Gaffalione']
32,Peddlers Pride,0.0851063829787234,William Mott,Liam's Map,['Junior Alvarado']
33,High Tide,0.08470269354565477,Todd Pletcher,Malibu Moon,['John Velazquez']
34,Hometown Pride,0.08384732744460431,Ian Wilkes,To Honor and Serve,['Chris Landeros']
35,Vaya Con Dios,0.08403113115067996,Eric Guillot,Majesticperfection,['Dylan Davis']
36,Irked,0.08351681725001897,William Mott,War Front,['Jose Lezcano']
37,Pharoah Cat,0.08561058171652222,D. Lukas,American Pharoah,['Rajiv Maragh' 'Luis Reyes']
38,Field Pass,0.08125533123916878,Michael Maker,Lemon Drop Kid,['Luis Saez']
39,Decorated Invader,0.08208425711973352,Christophe Clement,Declaration of War,"['Irad Ortiz, Jr.' 'Junior Alvarado']"
40,Mr Jaggers,0.08197320716911319,William Mott,Twirling Candy,['Junior Alvarado']
41,Our Country,0.08192643286008171,George Weaver,Constitution,['Manuel Franco']
42,Enforceable,0.08060978896706736,Mark Casse,Tapit,['Tyler Gaffalione' 'Jose Ortiz']
43,Cardiac Kid,0.08170546808072959,Kenneth McPeek,American Pharoah,['Jose Lezcano' 'Julien Leparoux']
44,Kokokomo,0.07970219509222014,Todd Pletcher,Uncle Mo,['Javier Castellano']
45,Mr Everything,0.07970219509222014,Wesley Ward,Mr Speaker,['John Velazquez']
46,Cloudbased,0.07857856007099805,Claude McGaughey III,Orb,['Dylan Davis']
47,Sweet Melania,0.08205720064518786,Todd Pletcher,American Pharoah,['Jose Ortiz']
48,Morning Gold,0.08231213420858761,Kenneth McPeek,Morning Line,['Dylan Davis' 'Jose Ortiz']
49,Lucky Jingle,0.08089963475032888,H. Motion,Tonalist,['Rajiv Maragh']
50,Pearlescent,0.07938954112845227,William Mott,The Factor,['Junior Alvarado']
51,Days of Spring,0.07926738287078484,Todd Pletcher,Uncle Mo,['Manuel Franco']
52,Miss Marissa,0.08214097392481849,James Ryerson,He's Had Enough,['Luis Saez' 'Dylan Davis']
53,Foreign Exchange,0.0815006161020745,D. Lukas,Congrats,['Joel Rosario' 'Luis Saez']
54,Sign of the Times,0.078332350339133,Wesley Ward,Animal Kingdom,"['Irad Ortiz, Jr.']"
55,Bank On Shea,0.0859106529209622,Jason Servis,Central Banker,"['Irad Ortiz, Jr.']"
56,Blame the Cake,0.08425761392321691,Ian Wilkes,Blame,['Javier Castellano' 'Julien Leparoux']
57,Macho Boy,0.08257669420746183,Gary Contessa,Mucho Macho Man,['Joel Rosario' 'Manuel Franco']
58,South Africa,0.08443612023703521,Michelle Nevin,Will Take Charge,['Jose Ortiz']
59,Kobe,0.08079410453797335,Gary Contessa,Japan,['Chris Landeros' 'Luis Saez' 'Tyler Gaffalione']
60,Titan's Will,0.08248226631274276,Jeremiah Englehart,Congrats,['Luis Saez']
61,Our Destiny,0.08172483989360911,Joseph Parker,Freud,['Joey Martinez']
62,No Salt,0.08047995317529996,William Mott,Tonalist,['Junior Alvarado']
63,Sky of Hook,0.08203317308723873,Rudy Rodriguez,Tapiture,['Luis Saez']
64,Listentoyourheart,0.08275253170536451,Christophe Clement,Afleet Alex,['Manuel Franco']
65,Theitalianamerican,0.0821823964951239,Gary Contessa,Girolamo,['Joel Rosario' 'Javier Castellano']
66,Mission Wrapitup,0.08156010684013909,Bruce Brown,Mission Impazible,['Dylan Davis']
67,Torres Del Paine,0.07966857871255577,H. Motion,Karakontie,['Weston Hamilton']
68,Just Fly,0.07927666700193153,Joe Sharp,Justin Phillip,['Luis Saez']
69,Ain't None Lucky,0.08412813686613632,Lacey Gaudet,Candy Ride (ARG),"['Johan Rosado' 'Irad Ortiz, Jr.']"
70,Project Whiskey,0.08283351270125933,"Robert Reid, Jr.",Tapizar,['Kendrick Carmouche']
71,Double Down Dare,0.08486259172589951,Steve Klesaris,Cross Traffic,['Jose Lezcano' 'Manuel Franco']
72,Devils Rendezvous,0.0821160517278586,Gary Contessa,Daredevil,['Joel Rosario' 'Tyler Gaffalione']
73,Raggedy Annie,0.08266463489683545,D. Lukas,Union Rags,['Tyler Gaffalione' 'Rajiv Maragh']
74,Myawaya,0.08348478104889356,Todd Pletcher,Wicked Strong,['John Velazquez']
