,SIRE,AVERAGE_SPEED_furlongs_a_second,OFFSPRING
144,Daddy Long Legs,0.08889750925342256,['Montauk Daddy']
126,Zoffany (IRE),0.08836476976960896,['Boston Beauties (IRE)']
127,Colonel John,0.08783837738561047,['Love of My Heart']
145,Sidney's Candy,0.08763543658381134,['Now Is']
125,Warrior's Reward,0.08736954138933456,['Go Rudy Go']
130,Society Rock (IRE),0.0871121529372634,['Divided Sky (IRE)']
158,Karakontie (JPN),0.08691392361056241,['Las Ramblas']
110,Get Stormy,0.08661144530880917,['Get Smokin']
150,Giant's Causeway,0.08624745177983377,"[""Ava K's Girl""]"
159,Take Charge Indy,0.08598990009537062,['Brickyard']
121,Treasure Beach (GB),0.08587720106678788,"['Livin At the Beach', 'Venerate', 'River Hawk']"
27,City Zip,0.08567180611960365,"['Zyramid', 'Sprawl', 'Roman City', 'Freewheeler']"
133,Honor Code,0.08566246864150608,"['Bellavia', 'Croi Mor', 'Cryptographer']"
10,Midshipman,0.08562025565477173,"['Shippy', 'Queen of Shades', 'Aye Aye Sir', 'Relentless Dancer', 'Sea of Blue']"
153,In Trouble,0.08554563859819213,"[""O'Trouble""]"
64,New Year's Day,0.08547008547008547,['January Won']
113,Bahamian Squall,0.08541775989428928,['Bahamian Prince']
16,Munnings,0.0853769709472089,"['Good Shabbos', 'Finite', 'Stunning Munnings', 'Kimari']"
82,Poseidon's Warrior,0.08532386069044734,['Mr Thrifty']
33,War Front,0.08526787045867729,"['Irked', 'Meritaten', 'U S Army Corps', 'Indochine']"
111,Justintimeforwine,0.0851815140626936,['Justintimeforwine']
128,Conveyance,0.08510055524799437,"['Leaveuwithasmile', 'Water White']"
129,Hat Trick (JPN),0.08509463055153688,['Our Little Jewel']
155,Danza,0.08504606661941885,['Irish Danzing']
45,Blame,0.08494802217440998,"['Blame the Cake', 'Acre', 'Abscond', 'Alandra']"
65,Can the Man,0.08472789194705276,"['Beyond Gone', 'Dan the Man Can']"
115,Quality Road,0.0847227058412317,"['Wall Eye', 'Maximiliano']"
116,Artie Schiller,0.08472112300079544,['Chimney Rock']
131,Fed Biz,0.0846590966912965,"['La Negrita', 'Scilly Cay', 'Yellen']"
29,Liam's Map,0.08464905706397033,"['Peddlers Pride', 'Basin', 'Wicked Whisper', 'Bongga']"
136,Palace,0.08459682701899295,['Palace Avenger']
156,Forty Tales,0.0844037260408514,"[""My Father's Eyes""]"
61,Emcee,0.08436849872188597,"['Darken a Day', 'Classy Sadie', 'Shandian', 'Sophie Rules', 'Chowda']"
63,Maclean's Music,0.08431825740820686,"['American Song', 'Cold Hard Cash', 'Summer Sangria', 'Imincomunicado']"
62,Tale of the Cat,0.08431696486374438,"['Light in the Sky', 'Cleon Jones']"
157,Silent Name (JPN),0.08426687816000793,['No Word']
86,Oxbow,0.08424103818750572,"['Blackberry Wine', 'Frosted Rose', 'Good Scout', 'Ox Bridge', 'Blossom Bow', 'Bow Maker']"
79,Point of Entry,0.08423546754144613,"[""Mom's Pass"", 'Brewmeister', 'Tuggle', 'Unicorn Sally']"
