,DATE,RACE,CLASS,RACE NAME,DIST,SURF,STARTER NAME,PP,ODDS,FAVE,FIN,TRAINER,JOCKEY,TIME,PREV RACE,DAYS,SIRE,NOTES,RACE_ID
0,7/11/19,5,MSW-NY-F,,5.5,Dirt,Big Q,5,14.0,False,1,Gary Gullo,Joel Rosario,1:06.910,,,Big Brown,,1
1,7/11/19,5,MSW-NY-F,,5.5,Dirt,Impazible Donna,6,2.45,True,2,Bruce Levine,Luis Saez,1:06.990,,,Mission Impazible,,1
2,7/11/19,5,MSW-NY-F,,5.5,Dirt,Funfetti,8,2.65,False,3,Jeremiah Englehart,Jose Ortiz,1:07.434,,,Giant Surprise,,1
3,7/11/19,5,MSW-NY-F,,5.5,Dirt,Love Me Tomorrow,2,3.85,False,4,Wesley Ward,Dylan Davis,1:07.514,BEL 5/30 4,42.0,Mineshaft,,1
4,7/11/19,5,MSW-NY-F,,5.5,Dirt,Keypit,7,29.5,False,5,Thomas Albertrani,Jose Lezcano,1:09.409,,,Congrats,,1
5,7/11/19,5,MSW-NY-F,,5.5,Dirt,Ghostghostghost,3,3.85,False,6,Steven Asmussen,"Ricardo Santana, Jr.",1:09.772,,,Archarcharch,,1
6,7/11/19,5,MSW-NY-F,,5.5,Dirt,Rewarded,9,22.2,False,7,Michael Lauer,Manuel Franco,1:09.934,BEL 6/23 2,18.0,Central Banker,,1
7,7/11/19,5,MSW-NY-F,,5.5,Dirt,Time Shift,1,37.5,False,8,Philip Serpe,Eric Cancel,1:10.700,,,Union Rags,,1
8,7/11/19,5,MSW-NY-F,,5.5,Dirt,Helen by Night,4,17.7,False,9,Rudy Rodriguez,Javier Castellano,1:14.288,,,Rule by Night,,1
9,7/11/19,8,GRD-F,Schuylerville S.,6.0,Dirt,Comical,5,3.1,False,1,Doug O'Neill,Javier Castellano,1:11.660,SA 5/26 4,46.0,Into Mischief,,2
10,7/11/19,8,GRD-F,Schuylerville S.,6.0,Dirt,Kiss the Girl,8,3.8,False,2,Todd Pletcher,John Velazquez,1:11.699,BEL 6/12 3,29.0,Into Mischief,,2
11,7/11/19,8,GRD-F,Schuylerville S.,6.0,Dirt,Shippy,1,1.1,True,3,Doug O'Neill,Jose Ortiz,1:11.778,LRL 6/14 1,27.0,Midshipman,,2
