,JOCKEY,AVERAGE_SPEED_furlongs_a_second,HORSES
28,Samuel Jimenez,0.07909346919181723,['Bella Invasion' 'Cherokee Song']
34,Michael Luzzi,0.07928188975498013,['Let It Slide' 'Bellamy Bigs']
19,Weston Hamilton,0.07966857871255577,['Torres Del Paine']
33,Jose Gallego,0.0801466734136354,['African Heritage' 'Blossom Bow' 'Bychance' 'Lovedisc']
21,Benjamin Hernandez,0.08112378803871029,"[""Apollo's Abraxas"" 'Sir Ludlow' 'Kampai']"
17,Rajiv Maragh,0.08168404266266278,"['Pharoah Cat' 'Lucky Jingle' ""He's Super Lucky"" 'More Than Silver'
 'Irish Mias' 'Miss My Macho' 'Forever Wicked' 'Good Scout' 'Hard Won'
 'King of American' 'Managing Risk' ""Shackleford's Joy"" 'Raggedy Annie'
 'Mirabell Mei']"
10,Mychel Sanchez,0.0816982339565093,"[""Lula's Roadrunner""]"
23,Heman Harkie,0.08173701993631188,"['Dustinthewind' 'Wicked Amber' 'E Z for You to Say' 'Alex Love Candy'
 'Barker Lane']"
26,Jevian Toledo,0.08195622047713422,['Determined Force']
36,Andre Worrie,0.08200418221329288,['Top Hat Invasion']
