,JOCKEY,AVERAGE_SPEED_furlongs_a_second,HORSES
32,Luca Panici,0.08846710632137687,['Champagne Humor']
24,"Jorge Vargas, Jr.",0.08409772209822125,"['Cleon Jones', 'American Song', 'Leaveuwithasmile']"
9,John Velazquez,0.0838181475917258,"['Kiss the Girl', 'Apurate', 'Memorable', 'High Tide', 'Mr Everything', 'Myawaya', 'Violent Point', 'Barleewon', 'Beyond Brown', 'Close Shave', 'Soviet', 'Eagerly', 'Magnetique', 'Summer Sangria', 'Good Credence', 'Glory Road', 'Integral', 'Dream Bigger', 'Divided Sky (IRE)', 'Noudha', 'Kimari', 'Mystic Lancelot', 'Now Is', 'Portos', ""O'Trouble"", 'Papa King', 'Nic and Zoe', 'More Glitter', 'Eternal Summer', ""O'Bushido"", 'Gouverneur Morris']"
15,"Irad Ortiz, Jr.",0.08375188638230026,"['By Your Side', 'Decorated Invader', 'Sign of the Times', 'Bank On Shea', 'Fly Fly Away', 'Kiawah Sunset', 'Queen of Shades', 'Stunning Munnings', 'Aubrey Tate', 'Girlntheyellowtaxi', 'Tulanian', 'Inside Risk', 'Policy Option', 'Sketches of Spain (IRE)', 'Perfect Alibi', 'Indochine', 'Gran Chemin', 'Palace Avenger', 'Mazal Eighteen', ""Ain't None Lucky"", 'Aye Aye Sir', 'Maxwell Esquire', 'Venerate', 'Americano Girl', 'Water White', 'Rejected Again', 'Manage My Credit', 'Legend of Bam', 'Cowtown', 'Time Limit', 'Complexifier', 'Roman City', 'Lorenzen', 'Jazzique (IRE)', 'Irish Danzing', 'Freewheeler', 'Superbloodwolfmoon', 'Structor', 'Always Misbehaving', 'Bahamian Prince', ""Bayern's Mirage"", 'Boxer Rebellion']"
8,Javier Castellano,0.0836736364948594,"['Helen by Night', 'Comical', 'Raging Whiskey', 'Kokokomo', 'Blame the Cake', 'Fierce Lady', 'Shandian', 'Fly So Pretty', 'Assault Breaker', 'Blanket of Roses', 'Kit Kat Katie', 'Figure of Speech', 'Get Smokin', 'Brewmeister', 'Dubai Bobby', 'Situation Room', 'Lady Kaza', 'Voting Agreement', 'Secondary Market', 'Abscond', 'British Idiom', 'Croi Mor', 'Noble Emotion', 'Market Impact', 'Cost Basis', 'Quantum Computing', 'Deeply Analytical', 'Theitalianamerican', 'Selflessly', 'Andesite', 'Ginseng', 'Kemba', ""King's Honor (IRE)"", 'Get Set', 'Slam Dunk']"
0,Joel Rosario,0.08362692078695765,"['Big Q', 'Buxom Beast', 'Foreign Exchange', 'Macho Boy', 'Theitalianamerican', 'Devils Rendezvous', 'Darken a Day', 'Justintimeforwine', 'Jewel of Arabia', 'City Man', 'Mrs. Danvers', 'American Butterfly', ""Jen's Battle"", 'Mrs. Awesome', 'Kowalski', 'Mo and Go', 'Sister Beauty', 'Frosted Rose', 'Feeling It', 'U S Army Corps', 'Amends', 'Pure Wow', 'Bridal Path', 'Miss Peppina', 'Kierkegaard', 'Our Little Jewel', 'Famished', 'Long Weekend', 'Windfall Profit', 'More Thunder', 'Katama Bay', 'Wicked Title', 'Crossing the Moon', ""Ava K's Girl"", 'True Grace', 'Moonshine Now', 'Sea of Blue', 'Logic N Reason', 'Crystalle', 'Remain Anonymous', 'Mischief Afoot', 'Gear Jockey', 'Alandra', 'Malibu Edge', 'Shoplifted']"
22,Luis Reyes,0.08362679454468226,"['Imperio D', 'Giggle Factory', ""Shackleford's Joy"", 'Strong Legacy', 'This Ill Defend', 'Pharoah Cat', 'Like You', 'Sweet Leaf', 'Wharf Cat', 'Brickyard', 'Feeling It']"
5,"Ricardo Santana, Jr.",0.08353585053529931,"['Ghostghostghost', 'Lotta Ott', 'Ninth of April', 'Finite', ""Mom's Pass"", 'Basin', 'Shoplifted', 'Smokin Hot Kiss', 'Hallajoori', 'Silver Prospector', 'Indian Cross', 'Weekend Fun', 'Magic Dance', 'Leaveuwithasmile', 'Tumbling Sky', 'Gozilla', 'Zyramid', 'Memorable', 'Excession', ""Breed's Hill"", 'Desbordes', 'Solar Fire', 'Bull of Bayern', 'Icecap', 'Wicked Whisper', 'Eli Rocks', 'Candygramformongo', 'Aubrey Tate', ""My Father's Eyes"", 'Pow Wow Prince', 'Wayne O', 'Andiama']"
2,Jose Ortiz,0.08353428309947325,"['Funfetti', 'Shippy', 'Sweet Melania', 'South Africa', 'Light in the Sky', 'January Won', 'Time Limit', 'Turbo Drive', 'Sweet Kisses', 'Meritaten', 'Three Technique', 'Mo Ready', 'Are You Kitten Me', ""Brian's Last Song"", 'Risky Mischief', 'Slam Dunk', 'Justintimeforwine', 'Eternal Summer', 'Wayne O', 'Daphne Moon', 'Sparkling Sky', ""Thea's Theme"", 'Brilliant Brooks', 'First Deputy', ""She's Into Me"", 'Yukon Eric', 'Kittansett', 'Sprawl', 'Morning Gold', 'Mundaye Call', 'Beyond Gone', 'Big Bounty', ""Esther's Fortune"", 'Relentless Dancer', 'River Hawk', 'Fort McHenry', 'Candy Tycoon', 'Chaysenbryn', 'Melisande', 'Sophie Rules', 'Flute Maker', 'Enforceable', 'Scilly Cay', 'Onward', 'Bow Maker', 'Moonachie', 'Hai Bobbi', 'Tuggle', 'Surprise Arrival', 'Snaffle', 'Hard Sting', 'Made Sense', 'No Word', 'Chimney Rock', 'Always a Queen', 'Maximiliano', 'Basin']"
20,Johan Rosado,0.08335101385142302,"[""Ain't None Lucky""]"
