,TRAINER,AVERAGE_SPEED_furlongs_a_second,HORSES
62,Alexis Delgado,0.0777675527847264,['Fifty Cents']
6,Michael Lauer,0.0790373341362326,['Rewarded']
65,Richard Vega,0.0792047839689517,['Mrs. Phelps']
66,Marialice Coffey,0.0796328269510629,['Smokin Hot Kiss']
34,Bruce Brown,0.07998008284563943,"['Mission Wrapitup' 'Single Verse' 'Graphite Dutchess'
 'Talk You Out of It' 'Let It Slide']"
110,Charlton Baker,0.0799946670221985,['Kefaliani']
97,Jaime Mejia,0.08014667341363538,['African Heritage' 'Blossom Bow' 'Bychance' 'Lovedisc']
61,Timothy Hamm,0.0802150078068977,['Sir Ludlow']
51,Patrick Reynolds,0.0802159513421126,['Mazal Eighteen']
79,"James Lawrence, II",0.080346177243667,['Fishman']
